ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7228.292511557024
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5924.62060047038
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,5919.700568756725
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,7208.832174042443
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,5907.839381124318
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,7258.6058726876245
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,5907.9282747494
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,5960.62644705647
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7245.68810976959
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7237.384780716754
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,5983.027996431525
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,5978.330021127658
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,5909.017908480882
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,5933.5433751613255
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,5916.1415543402745
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7231.543615980358
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,5928.64130870546
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,5870.826357045723
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5873.709403986817
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7237.561453584931
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7229.17703444417
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5904.050623839281
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7224.385864876276
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5903.216083918631
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7248.495073830501
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7254.512285625841
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7237.986802135965
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,5939.5279641115785
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,5911.891001812587
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,5945.786137255379
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,5872.87733069979
